Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #,,,
10uF,"Cap 10 uF 10V X7R 0603, Cap 10  uF 10V X7R 0603","C1, C2, C3, C4, C6, C7, C15, C16, C17, C19, C20",CAP_0603,Generic C,11,C962136,,,
0.1uF,Cap 0.1 uF 10V X7R 0603,"C5, C8, C9, C10, C11, C12, C18",CAP_0603,Generic C,7,C66501,,,
10pF,Cap 10 pF 10V X7R 0603,"C13, C14",CAP_0603,Generic C,2,C1634,,,
470nF,Cap 470 nF 10V C0G 0603,"C21, C22",CAP_0603,Generic C,2,C22402129,,,
47nF,Cap 47 nF 10V X7R 0603,"C23, C24, C25, C26",CAP_0603,Generic C,4,C106218,,,
Red LED,LED RED CLEAR SMD SML-LX0805SRC-TR,D1,FP-SML-LX0805SRC-TR-MFG,CMP-57192-000013-1,1,C7317653,,,
MPZ2012S102AT000,FERRITE BEAD 1 KOHM 0805 1LN,FB1,FP-MPZ2012-IPC_B,CMP-08257-000042-1,1,C76817,,,
JST CONN,CONN JST HEADER VERT 2POS 2MM for LIPO batteries.,J1,JST_B2B-PH-K-S,B2B-PH-K-S,1,C131337,,,
HTSW-104-07-G-S,"CONN HEADER VERT 4POS 2.54MM, CONN HEADER VERT 4POS 2.54MM. Versión alterna.","J2, J3",FP-HTSW-104-07-G-S-MFG,"CMP-02766-001776-1, CMP-02766-001776_ALT",2,,,,
MEM2061-01-188-00-A_revA,"Micro SD Memory Card Connector, 1.88mm Profile SMT,Push Push, with normally closed switch",J4,MEM2061-01-188-00-A_revA,MEM2061-01-188-00-A_revA,1,C5151738,,,
PPTC021LGBN-RC,PPTC021LGBN-RC 2 Position Total Single Row 2.54 mm Pitch Right Angle Female Header,J5,FP-PPTC021LGBN-RC-MFG,CMP-00595-00270342-1,1,C3320521,,,
SI2302CDS-T1-E3,MOSFET N-CH 20V 2.6A SOT-23,Q1,FP-S-03946-MFG,CMP-02550-000184-1,1,C141544,,,
10k,RES  10k 1% 0603,"R1, R5",RES_0603,Generic R,2,C98220,,,
22k,RES  22k 1% 0603,R2,RES_0603,Generic R,1,C114065,,,
47k,RES  47k 1% 0603,"R3, R9, R10, R20, R21, R22, R23, R24, R25",RES_0603,Generic R,9,C105579,,,
2k,RES  2k 1% 0603,R4,RES_0603,Generic R,1,C105576,,,
4k7,RES  4k7 1% 0603,"R6, R7, R8",RES_0603,Generic R,3,C99782,,,
LDR,LDR for sensing daylight hours.,R11,Generic LDR,Generic LDR,1,,,,
100k,RES  100k 1% 0603,R12,RES_0603,Generic R,1,C14675,,,
47R,RES  47R 1% 0603,"R13, R14, R15, R16, R17, R18, R19",RES_0603,Generic R,7,C114623,,,
220mOhm,RES  220mOhm 1% 0603,R26,RES_0603,Generic R,1,C326952,,,
15k,RES  15k 1% 0603,"R27, R31",RES_0603,Generic R,2,C114661,,,
8k2,RES  8k2 1% 0603,"R28, R30",RES_0603,Generic R,2,C114637,,,
15k REF,"RES  15k 1% 0603, low drift  +- 10 ppm / °C.",R29,RES_0603,Generic R,1,C723653,,,
82R,RES  82R 1% 0603,R32,RES_0603,Generic R,1,C137676,,,
"Tactile push button 5,2mm x 5,2mm","Switch Tactile SPST-NO 5,2mm x 5,2mm",S1,"Switch Tactile 5,2mm x 5,2mm","Tactile push button 5,2mm x 5,2mm",1,,,,
STM32F103C8T6,"ARM Cortex-M3 32-bit MCU, 64 KB Flash, 20 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 85 degC, Tray",U1,STM-LQFP48_L,STM32F103C8T6,1,C8734,,,
TPS7A2030PDBVR,IC REG LINEAR 3V 300MA SOT23-5,"U2, U3",SOT-23,TPS7A2030PDBVR,2,C963429,,,
DS3231S#,IC RTC CLK/CALENDAR I2C 16SOIC. Symbol used with battery as the main supply voltage.,U4,SOIC_16_M,DS3231S# for battery use,1,C722469,,,
HM10 BLE Module,Modulo BLE HM10 con castellated pads.,U5,HM10_FOOTPRINT,HM10,1,,,,
ADS1220,"ADS1220 4-Channel, 2-kSPS, Low-Power, 24-Bit ADC with Integrated PGA and Reference",U6,TSSOP-16,ADS1220,1,C48263,,,
Crystal SMD 4-P,Cristal SMD 4-P 8 MHz,Y1,SMD5032-4P,Crystal SMD 4-P,1,C2901619,,,
